date,open,high,low,close,volume
2021-04-26,148.66,148.84,147.3553,147.6792,5995489
2021-04-27,147.3553,147.4902,146.1945,146.8334,6217008
2021-04-28,146.5454,146.8514,145.4566,145.7536,7440519
2021-04-29,145.6816,147.8052,145.6006,147.7512,6393776
2021-04-30,147.7062,147.8682,146.2395,146.4284,9077224
2021-05-03,147.2113,148.759,146.7794,148.66,6594075
2021-05-04,148.3181,151.0355,148.1741,150.9636,10178469
2021-05-05,150.7206,150.7206,150.0997,150.3337,5133431
2021-05-06,150.0817,151.067,149.5868,150.9366,5528948
2021-05-07,151.4405,152.2323,151.0175,151.6204,5315649
2021-05-10,152.8802,154.3469,152.2773,153.2131,8353879
2021-05-11,153.555,153.753,151.4225,151.9624,8217911
2021-05-12,151.6564,152.7902,151.1255,151.3505,6757195
2021-05-13,150.2437,153.6,150.2437,152.9342,8018482
2021-05-14,154.3019,154.4189,153.1231,153.1681,5797630
2021-05-17,153.3301,154.6708,153.2446,153.3211,5721022
2021-05-18,152.9522,154.1984,152.5472,153.3751,5844253
2021-05-19,152.8892,153.1141,151.2024,153.0421,5533336
2021-05-20,152.9162,154.4009,152.6912,153.933,4850007
2021-05-21,154.1669,155.4357,153.753,153.834,6501442
2021-05-24,154.7358,155.1432,153.7127,154.4189,5195117
2021-05-25,154.5275,154.8535,153.6855,153.9933,7444668
2021-05-26,153.9209,153.9933,152.3636,153.0789,5726333
2021-05-27,153.2509,154.0748,152.4541,152.8435,8113829
2021-05-28,153.4863,154.8308,153.1694,153.2418,6400810
2021-06-01,154.0567,154.102,149.7379,149.8737,10445425
2021-06-02,149.6654,150.9557,149.4934,150.4803,6804715
2021-06-03,150.1996,151.3405,150.0321,150.3354,5808286
2021-06-04,151.2092,151.7162,150.1815,150.2721,6510286
2021-06-07,150.2992,150.589,149.0603,149.2489,5359432
2021-06-08,149.6473,149.9914,146.7409,147.9361,7744650
2021-06-09,148.4793,150.1,148.1806,149.928,5552064
2021-06-10,150.2992,151.7253,150.254,151.2771,6461978
2021-06-11,151.268,151.2771,148.6876,149.3576,7388024
2021-06-14,148.9411,149.8103,148.3979,149.7288,4929401
2021-06-15,149.6021,150.1725,148.8415,148.9321,5062874
2021-06-16,149.2127,150.0729,148.0177,148.8777,6988139
2021-06-17,148.6604,150.0276,148.0357,149.593,5874715
2021-06-18,147.8274,148.6604,146.4874,146.6595,12966192
2021-06-21,147.3747,148.7193,146.9039,148.3435,6592246
2021-06-22,148.2258,148.5246,147.8365,148.1443,5627361
2021-06-23,148.2077,148.2077,147.1122,147.248,4492957
2021-06-24,147.8274,148.6695,147.4019,147.918,4547983
2021-06-25,147.5287,149.1946,147.4834,148.6785,10962564
2021-06-28,148.8868,149.4572,148.0538,148.5065,5602490
2021-06-29,148.4884,149.0679,147.9542,148.5156,3749513
2021-06-30,148.4884,149.3667,148.1896,149.1584,6150122
2021-07-01,149.1584,150.3083,149.0588,150.263,6317923
2021-07-02,150.3173,153.2871,149.9733,152.9974,9059387
2021-07-06,152.0286,152.8887,151.1956,152.0829,6097507
2021-07-07,151.6392,153.4682,151.6392,153.3867,6293448
2021-07-08,152.7439,153.432,151.7298,153.0879,5755479
2021-07-09,153.3505,154.2559,153.2328,153.6945,6120367
2021-07-12,153.6764,154.9893,152.599,153.4501,7833761
2021-07-13,152.9883,153.6991,152.7185,153.2599,4690408
2021-07-14,153.9209,154.6724,153.0517,154.3012,6155972
2021-07-15,153.2871,153.8304,151.8565,152.4451,6655731
2021-07-16,152.4179,153.097,152.0648,152.2006,5834853
2021-07-19,150.7338,152.2821,149.6835,151.096,8218952
2021-07-20,151.1141,154.6543,151.0598,152.5175,9896497
2021-07-21,153.2871,153.6402,151.6392,153.4591,7585061
2021-07-22,153.3414,154.8897,152.6986,153.9028,5281292
2021-07-23,154.8263,155.8903,154.265,155.5416,5014914
2021-07-26,155.5688,155.8585,154.7013,155.614,4484870
2021-07-27,155.5506,156.3836,154.5275,156.3293,7087923
2021-07-28,156.3927,156.9813,155.8042,155.8947,5750650
2021-07-29,156.4017,156.945,154.9033,155.8947,4213065
2021-07-30,156.2207,156.619,155.5869,155.9128,5346362
2021-08-02,156.1573,156.4923,155.0979,155.9762,3720357
2021-08-03,156.3927,157.9953,156.1301,157.8957,6031081
2021-08-04,157.7237,158.0768,156.8717,156.9631,4792488
2021-08-05,157.4068,157.4068,156.112,157.2619,4290687
2021-08-06,157.4882,157.4882,156.1392,156.7367,4580619
2021-08-09,157.2891,157.7689,156.5738,157.28,3949639
2021-08-10,156.8726,157.6422,156.438,157.3343,3678326
2021-08-11,157.7689,157.9681,157.1442,157.3615,4220714
2021-08-12,157.3796,158.7106,157.1713,158.6291,4299533
2021-08-13,158.7106,159.616,158.5566,159.5798,5881566
2021-08-16,159.8514,161.0646,159.3081,161.0194,4782665
2021-08-17,160.5395,162.5314,160.5395,162.4952,6040929
2021-08-18,162.5224,162.5224,160.3765,160.4308,7128934
2021-08-19,159.9148,162.3656,159.4168,161.6803,5613977
2021-08-20,161.9701,162.9026,161.2276,162.468,5425265
2021-08-23,162.4813,162.9731,161.7071,161.7709,6460957
2021-08-24,161.2062,161.4065,159.6487,159.7488,5733849
2021-08-25,160.0221,160.2134,158.3844,158.6923,5698182
2021-08-26,158.4373,159.1386,157.6175,157.8452,5024446
2021-08-27,158.7378,158.7378,157.3443,157.5082,7043971
2021-08-30,157.3807,158.7378,157.3716,158.1731,3252558
2021-08-31,158.0183,158.9291,157.0984,157.6904,7105520
2021-09-01,157.4809,158.246,156.7158,158.246,5326958
2021-09-02,158.7925,159.5667,158.4008,159.3299,4544280
2021-09-03,159.4847,159.594,158.3097,159.4301,4096451
2021-09-07,158.8016,159.4209,156.3606,156.9526,6844894
2021-09-08,156.315,157.5538,155.8232,156.5701,4656818
2021-09-09,155.9234,156.1875,152.7446,153.0816,7109022
